Element,Length_m,Load_kN
Beam,6.87,89.2
Beam,5.19,97.3
Beam,7.29,72.6
Beam,6.49,86.4
Beam,3.47,103.3
Beam,7.88,77.9
Beam,6.81,90.9
Beam,6.93,83.7
Beam,3.64,107.9
Beam,5.25,92.2
Beam,4.85,96.8
Beam,7.63,83.5
Beam,6.22,71.1
Beam,7.11,77.1
Beam,5.22,87.0
Beam,4.14,91.8
Beam,5.77,85.6
Beam,3.32,118.0
Beam,7.14,71.5
Beam,6.16,95.7
Beam,6.79,65.4
Beam,4.77,91.0
Beam,7.85,77.5
Beam,7.47,84.1
Beam,6.89,88.8
Beam,3.97,107.1
Beam,5.33,87.5
Beam,3.22,99.1
Beam,3.77,109.0
Beam,6.42,82.6
Beam,6.72,69.9
Beam,7.84,64.6
Beam,4.63,86.0
Beam,4.85,98.9
Beam,5.35,92.3
Beam,3.95,106.2
Beam,3.65,96.8
Beam,5.38,92.3
Beam,4.13,104.4
Beam,6.35,81.8
Beam2,6.88,60.3
Beam2,3.0,91.8
Beam2,2.14,96.5
Beam2,2.54,105.9
Beam2,6.33,81.7
Beam2,4.77,84.7
Beam2,2.97,104.8
Beam2,5.01,68.1
Beam2,2.91,84.0
Beam2,6.18,64.8
Beam2,4.68,77.7
Beam2,4.29,69.8
Beam2,3.81,92.3
Beam2,5.78,73.9
Beam2,4.17,69.4
Beam2,2.53,82.2
Beam2,2.71,94.6
Beam2,7.77,74.5
Beam2,7.45,87.7
Beam2,6.2,103.1
Beam2,3.6,91.2
Beam2,7.82,56.0
Beam2,6.67,50.3
Beam2,6.3,76.2
Beam2,4.7,73.4
Beam2,3.63,82.7
Beam2,2.58,86.0
Beam2,7.42,66.5
Beam2,4.73,92.0
Beam2,3.21,90.5
Beam2,3.84,84.2
Beam2,5.48,67.3
Beam2,3.06,72.9
Beam2,7.14,64.4
Beam2,6.55,71.7
Beam2,6.32,91.1
Beam2,4.59,83.3
Beam2,5.76,86.0
Beam2,5.5,72.5
Beam2,5.9,63.7
Column,2.57,125.8
Column,3.61,122.5
Column,3.24,136.1
Column,4.16,115.6
Column,4.12,121.5
Column,3.13,102.4
Column,4.41,112.3
Column,3.08,114.9
Column,3.53,107.6
Column,3.01,115.1
Column,4.37,109.7
Column,2.83,134.5
Column,2.59,114.0
Column,3.37,121.3
Column,4.48,107.3
Column,4.28,110.5
Column,4.0,126.0
Column,4.28,119.1
Column,4.29,127.1
Column,3.54,118.2
Column,3.13,116.0
Column,4.04,113.4
Column,3.82,119.8
Column,3.25,123.8
Column,2.69,115.6
Column,3.99,117.0
Column,3.02,126.1
Column,4.37,138.2
Column,2.98,142.9
Column,2.75,117.5
Column,4.16,111.8
Column,2.81,110.9
Column,2.86,119.2
Column,3.7,121.6
Column,4.25,126.1
Column,2.89,117.6
Column,3.12,116.5
Column,4.05,94.1
Column,4.44,110.8
Column,3.5,109.4
Slab,5.47,67.2
Slab,4.41,62.2
Slab,3.65,62.5
Slab,3.5,81.5
Slab,3.7,73.3
Slab,4.61,71.4
Slab,5.47,50.2
Slab,3.82,78.2
Slab,2.99,77.7
Slab,2.95,65.3
Slab,4.98,62.3
Slab,5.27,67.0
Slab,2.42,76.7
Slab,2.27,74.6
Slab,4.38,67.7
Slab,2.58,73.6
Slab,5.3,66.0
Slab,3.24,84.8
Slab,2.58,55.2
Slab,5.68,61.4
Slab,2.66,76.8
Slab,3.14,75.8
Slab,2.61,72.6
Slab,2.46,62.1
Slab,2.08,80.3
Slab,2.22,90.9
Slab,2.7,62.9
Slab,2.21,84.1
Slab,4.36,65.9
Slab,4.72,66.6
Slab,3.57,63.3
Slab,3.27,70.2
Slab,4.02,80.3
Slab,5.5,68.7
Slab,5.4,78.2
Slab,2.17,86.7
Slab,2.73,78.6
Slab,2.95,88.2
Slab,3.0,77.5
Slab,4.28,75.5
